Sheet: Q1 2021
Home Builder,,Sample Surveyed,Percentage
M F Freeman,,36,0.96
McCarthy & Stone,,1016,0.926
Miller Homes,,2390,0.945
Morris Homes,,351,0.954
Norfolk Homes,,102,0.974
Orbit Homes,,138,0.975
Persimmon Homes,,7590,0.954
Prospect (GB) Ltd,,26,0.923
Redrow Homes,,3239,0.931
Rose Builders,,39,1
St Modwen,,577,0.972
Stonebond Properties,,36,0.92
Story Homes,,768,0.954
Strata Homes,,357,0.88
Taylor Wimpey,,7820,0.951
Thakeham Homes,,78,0.946
Tilia Homes,,476,0.923
Vistry Homes,,4626,0.94
Wainhomes,,749,0.909
William Davis,,230,0.919

Sheet: Q3 2024
Home Builder,,Sample Surveyed,Percentage
A & J Stephen,,19,0.947
Allison Homes Ltd,,119,0.932
Amethyst Homes,,25,0.96
Avant Homes,,851,0.914
Barratt Developments,,6047,0.956
Beal Developments,,81,0.975
Bellway Homes,,4349,0.942
Bloor Homes,,1706,0.978
Burrington Estates,,10,1
CALA Homes,,1221,0.959
Cameron Homes,,81,0.938
Campion Homes,,22,0.905
Castle Green Homes,,101,0.94
Cavanna Homes,,67,0.94
Churchill Retirement Living,,233,0.968
Crest Nicholson,,657,0.934
Croudace Homes,,134,0.962
Dandara Homes,,396,0.975
Davidsons Developments,,297,0.949
Denbury Homes,,47,0.979
Durkan,,35,0.882
Eccleston Homes,,23,0.455
Greensquare Homes,,19,0.529
Hayfield Homes,,60,0.917
Hill,,229,0.93
Hopkins Homes,,206,0.951
Jones Homes,,152,0.926
Kebbell Development,,15,0.933
Keepmoat,,1133,0.939
Kingswood Homes,,31,0.935
Lagan Homes,,88,0.955
Lioncourt Homes,,74,0.986
Lovell,,397,0.931
M F Freeman,,28,1
Malcolm Allan Housebuilders,,12,1
McCarthy & Stone,,476,0.931
Miller Homes,,1685,0.95
Morris Homes,,246,0.963
Norfolk Homes,,40,1
Orbit Homes,,79,0.975
Persimmon Homes,,5198,0.959
Prospect (GB) Ltd,,12,0.909
Redrow Homes,,1861,0.943
Riverdale Developments,,2,1
Rose Builders,,18,1
St Modwen,,476,0.966
Stewart Milne,,121,0.785
Stonebond Properties,,22,1
Story Homes,,622,0.952
Strata Homes,,174,0.931
Taylor Wimpey,,4288,0.952
Thakeham Homes,,60,0.949
Tilia Homes,,264,0.936
Vistry Homes,,2684,0.949
Wainhomes,,423,0.91
William Davis,,77,0.92

Sheet: Q4 2024
Home Builder,,Sample Surveyed,Percentage
A & J Stephen,,16,0.938
Allison Homes,,117,0.949
Amethyst Homes,,20,1
Avant Homes,,848,0.909
Bargate Homes,,32,0.938
Barratt Developments,,5852,0.96
Beal Developments,,72,0.972
Bellway Homes,,4035,0.954
Bloor Homes,,1740,0.977
CALA Group,,1209,0.963
Cameron Homes,,80,0.938
Campion Homes,,26,0.923
Castle Green Homes,,109,0.972
Cavanna Homes,,55,0.927
Churchill Living,,215,0.967
Crest Nicholson,,560,0.95
Croudace Homes,,113,0.947
Cruden Homes,,28,0.929
Dandara Homes,,397,0.975
Davidsons Developments,,293,0.949
Denbury Homes,,38,0.974
Durkan,,43,0.93
Hayfield Homes,,69,0.928
Hill Holdings,,248,0.952
Hopkins Homes,,199,0.965
Jones Homes,,150,0.913
Keepmoat,,1044,0.943
Kingswood Homes,,33,0.97
Lagan Homes,,95,0.937
Lioncourt Homes,,66,0.955
Lovell Partnerships,,366,0.943
M F Freeman,,28,1
McCarthy Stone,,377,0.942
Miller Homes,,1589,0.949
Morris Homes,,221,0.973
Norfolk Homes,,34,1
Orbit Homes,,63,0.968
Persimmon Homes,,5016,0.96
Redrow Homes,,1809,0.957
Robertson Homes,,161,0.975
Rose Builders,,27,1
Spitfire Homes,,81,0.926
St Modwen,,481,0.969
Stancliffe Homes,,22,1
Stonebond Properties,,29,1
Story Homes,,598,0.948
Strata Homes,,181,0.923
Taylor Wimpey,,3904,0.956
Thakeham Group,,55,0.927
Tilia Homes,,267,0.936
Vistry Homes,,2459,0.944
Wain Homes,,421,0.917
William Davis,,79,0.937

Sheet: Q1 2025
Home Builder,,Sample Surveyed,Percentage
A & J Stephen,,13,1
Allison Homes Ltd,,128,0.921
Avant Homes,,856,0.911
Barratt Developments,,5647,0.959
Beal Developments,,94,0.957
Bellway Homes,,4115,0.958
Bloor Homes,,1726,0.976
CALA Homes,,1094,0.964
